,RXCUI,ATC
278,1189668,A12CA01
279,1189668,B05CB01
280,1189668,B05XA03
281,1189668,B05XA17
282,1428947,L04AX04
283,1014134,A12CA01
284,1014134,B05CB01
285,1014134,B05XA03
286,220675,C09AA13
287,1720587,N06BA01
288,890785,G01AF15
289,1873760,A06AX07
290,196459,N01AX10
291,689638,R06AB04
292,689638,C01CA06
293,689638,R01AA04
294,689638,R01AB01
295,689638,R01BA03
296,689638,S01FB01
297,689638,S01GA05
298,1370976,G03XC05
299,1360269,R01AD13
300,1360269,R03BA08
301,1193041,B03BA01
302,1193041,A11CC05
303,1193041,V04CX02
304,1193041,B03BB01
305,1193041,A11HA02
306,312749,C09AA06
307,728111,J05AH02
308,311985,C08CA07
309,466479,C05AD07
310,466479,D04AB07
311,466479,A01AB08
312,466479,A07AA01
313,466479,B05CA09
314,466479,D06AX04
315,466479,J01GB05
316,466479,R02AB01
317,466479,S01AA03
318,466479,S02AA07
319,466479,S03AA01
320,466479,A07AA05
321,466479,J01XB02
322,466479,S01AA18
323,466479,S02AA11
324,466479,S03AA03
325,1724276,N02AA03
326,826612,G04CA04
327,1442443,A11CC05
328,1442443,A02AC01
329,1442443,A12AA04
330,351270,L03AB11
331,762672,L01XD04
332,1049691,N02AA05
333,1049691,A01AD05
334,1049691,B01AC06
335,1049691,N02BA01
336,797063,A02BC01
337,1251928,N02BE01
338,1251928,R01BA02
339,1251928,R06AB04
340,208558,B01AC05
341,205330,A10BF02
342,995019,C01DA02
343,995019,C05AE01
344,1005771,D10AB02
345,1005771,S01AB04
346,1005771,D10AF06
347,311982,L02BB02
348,1791376,A16AA01
349,2685,C10AC02
350,731281,A10AB04
351,731281,A10AC04
352,731281,A10AD04
353,857297,N06AA04
354,2400,R06AB04
355,733003,L03AX16
356,1543218,G03BA03
357,1114195,B01AF01
358,206794,L01AD02
359,1114074,L01EX04
360,1719228,B02BD02
361,310384,N06AB03
362,1721565,L01EB04
363,42940,N06AA09
364,209029,J06BB09
365,1729528,C03CA04
366,238004,G03CA03
367,1049108,R02AA09
368,1049108,C05AD03
369,1049108,D04AB04
370,1049108,N01BA05
